iter	Logloss
0	0.658857491
1	0.6245805473
2	0.5969816548
3	0.5775890893
4	0.5582285077
5	0.5410682804
6	0.5303974209
7	0.5211610496
8	0.509083129
9	0.501895104
10	0.495118182
11	0.4829105341
12	0.4750449576
13	0.4699077234
14	0.4619691318
15	0.4528783562
16	0.4477239618
17	0.4445712481
18	0.4411007072
19	0.4357619756
20	0.4301472087
21	0.4266052215
22	0.4136906718
23	0.4057931897
24	0.4029196356
25	0.4008574525
26	0.3986569395
27	0.3943505958
28	0.388322358
29	0.3842098304
30	0.3793579746
31	0.3747616696
32	0.3668672377
33	0.3655804227
34	0.3643120944
35	0.3575382092
36	0.3564757996
37	0.3538343258
38	0.3482476035
39	0.346436837
40	0.3421787749
41	0.3412141677
42	0.3353407844
43	0.3328751194
44	0.3320707818
45	0.3311898767
46	0.3286476227
47	0.3257414867
48	0.3236071826
49	0.3225152186
50	0.3205244953
51	0.319474608
52	0.3188485082
53	0.3171291332
54	0.3142048865
55	0.3119802579
56	0.3108568079
57	0.309477148
58	0.3080034566
59	0.3068728595
60	0.3041026316
61	0.3018420537
62	0.301013473
63	0.299316015
64	0.2985264467
65	0.2975890439
66	0.2969899881
67	0.2962989099
68	0.2959398989
69	0.294298443
70	0.2930778165
71	0.2927285691
72	0.2922637728
73	0.2917213131
74	0.2906642174
75	0.2900926176
76	0.2891797281
77	0.2884836479
78	0.2880580243
79	0.2876988746
80	0.2867556443
81	0.2865849864
82	0.2847353898
83	0.2833097891
84	0.2829554279
85	0.2822981573
86	0.2820455758
87	0.281328526
88	0.2810978209
89	0.2803450222
90	0.2801997717
91	0.2798944892
92	0.2785241638
93	0.2783579535
94	0.2780277381
95	0.2775819231
96	0.2769371441
97	0.2768032065
98	0.2766963416
99	0.2754688414
9	0.09076751246
