iter	Passed	Remaining
0	105	10471	1	209	1022	22	286	923	33	364	874	34	454	865	55	551	866	56	638	847	67	694	798	78	782	799	89	901	8110	10	958	7711	11	1002	712	112	1062	713	113	1185	714	114	1299	715	115	1389	716	116	1548	7560
17	1641	718	118	1761	7509
19	1822	720	120	1943	7312
21	2039	7229
22	2155	7216
23	2273	7197
24	2339	7019
25	2483	7067
26	2602	7035
27	2646	628	228	2757	629	229	2903	6773
30	3013	6707
31	3108	6604
32	3242	6584
33	3345	6494
34	3436	6382
35	3528	6273
36	3634	6188
37	3736	6096
38	3876	6062
39	4015	6022
40	4132	5946
41	4237	5851
42	4347	5763
43	4468	5687
44	4591	5611
45	4714	5533
46	4867	5488
47	4951	5364
48	5084	5291
49	5152	5152
50	5258	5052
51	5355	4943
52	5477	4857
53	5565	4741
54	5690	4656
55	5782	4543
56	5873	4431
57	5962	4317
58	6032	4192
59	6092	4061
60	6155	3935
61	6212	3807
62	6265	3679
63	6328	3559
64	6387	3439
65	6438	3316
66	6499	3201
67	6556	3085
68	6610	2969
69	6691	2867
70	6746	2755
71	6807	2647
72	6867	2539
73	6933	2435
74	6987	2329
75	7042	2224
76	7107	2123
77	7178	2024
78	7238	1924
79	7301	1825
80	7366	1727
81	7433	1631
82	7488	1533
83	7564	1440
84	7626	1345
85	7689	1251
86	7742	1156
87	7805	1064
88	7871	972
89	7985	887
90	8052	796
91	8169	710
92	8276	622
93	8344	532
94	8453	444
95	8562	356
96	8671	268
97	8857	180
98	8900	89
99	8945	0
